price,quantity,utility,allocation,cost
13,25,220,25,30
13,30,260,30,40
13,35,290,35,60
13,40,320,40,80
13,45,350,45,100
13,50,380,50,120
13,55,395,55,155
13,60,410,60,190
13,65,425,65,225
13,70,440,70,260
13,75,430,75,320
13,80,420,80,380
13,85,410,85,440
13,90,400,90,500
13,95,390,95,560
13,100,380,100,620
14,0,0,0,0
14,5,45,5,5
14,10,90,10,10
14,15,135,15,15
14,20,180,20,20
14,25,220,25,30
14,30,260,30,40
14,35,290,35,60
14,40,320,40,80
14,45,350,45,100
14,50,380,50,120
14,55,395,55,155
14,60,410,60,190
14,65,425,65,225
14,70,440,70,260
14,75,430,75,320
14,80,420,80,380
14,85,410,85,440
14,90,400,90,500
14,95,390,95,560
14,100,380,100,620
15,0,0,0,0
15,5,45,5,5
15,10,90,10,10
15,15,135,15,15
15,20,180,20,20
15,25,220,25,30
15,30,260,30,40
15,35,290,35,60
15,40,320,40,80
15,45,350,45,100
15,50,380,50,120
15,55,395,55,155
15,60,410,60,190
15,65,425,65,225
15,70,440,70,260
15,75,430,75,320
15,80,420,80,380
15,85,410,85,440
15,90,400,90,500
15,95,390,95,560
15,100,380,100,620
16,0,0,0,0
16,5,45,5,5
16,10,90,10,10
16,15,135,15,15
16,20,180,20,20
16,25,220,25,30
16,30,260,30,40
16,35,290,35,60
16,40,320,40,80
16,45,350,45,100
16,50,380,50,120
16,55,395,55,155
16,60,410,60,190
16,65,425,65,225
16,70,440,70,260
16,75,430,75,320
16,80,420,80,380
16,85,410,85,440
16,90,400,90,500
16,95,390,95,560
16,100,380,100,620
17,0,0,0,0
17,5,45,5,5
17,10,90,10,10
17,15,135,15,15
17,20,180,20,20
17,25,220,25,30
17,30,260,30,40
17,35,290,35,60
17,40,320,40,80
17,45,350,45,100
17,50,380,50,120
17,55,395,55,155
17,60,410,60,190
17,65,425,65,225
17,70,440,70,260
17,75,430,75,320
17,80,420,80,380
17,85,410,85,440
17,90,400,90,500
17,95,390,95,560
17,100,380,100,620
18,0,0,0,0
18,5,45,5,5
18,10,90,10,10
18,15,135,15,15
18,20,180,20,20
18,25,220,25,30
18,30,260,30,40
18,35,290,35,60
18,40,320,40,80
18,45,350,45,100
18,50,380,50,120
18,55,395,55,155
18,60,410,60,190
18,65,425,65,225
18,70,440,70,260
18,75,430,75,320
18,80,420,80,380
18,85,410,85,440
18,90,400,90,500
18,95,390,95,560
18,100,380,100,620
19,0,0,0,0
19,5,45,5,5
19,10,90,10,10
19,15,135,15,15
19,20,180,20,20
19,25,220,25,30
19,30,260,30,40
19,35,290,35,60
19,40,320,40,80
19,45,350,45,100
19,50,380,50,120
19,55,395,55,155
19,60,410,60,190
19,65,425,65,225
19,70,440,70,260
19,75,430,75,320
19,80,420,80,380
19,85,410,85,440
19,90,400,90,500
19,95,390,95,560
19,100,380,100,620
20,0,0,0,0
20,5,45,5,5
20,10,90,10,10
20,15,135,15,15
20,20,180,20,20
20,25,220,25,30
20,30,260,30,40
20,35,290,35,60
20,40,320,40,80
20,45,350,45,100
20,50,380,50,120
20,55,395,55,155
20,60,410,60,190
20,65,425,65,225
20,70,440,70,260
20,75,430,75,320
20,80,420,80,380
20,85,410,85,440
20,90,400,90,500
20,95,390,95,560
20,100,380,100,620
